version,open_known_false_positives,open_known_false_negatives,supported_verification_constructs,reviewed_baseline_findings,precision_corpus_cases
0.1.0-dev,0,0,12,22,54
0.1.0-dev,0,0,12,22,62
0.1.0-dev,0,0,12,22,64
0.1.0-dev,1,0,12,22,64
0.1.0-dev,0,0,12,22,69
0.1.0-dev,0,1,12,22,69
0.1.0-dev,1,1,12,22,69
0.1.0-dev,6,1,12,22,69
0.1.0-dev,5,1,12,22,69
0.1.0-dev,2,1,12,22,69
0.1.0-dev,1,1,12,22,69
0.1.0-dev,0,1,12,22,69
1.0.0-rc1,0,1,12,22,69
1.0.0-rc1,0,2,12,22,69
1.0.0-rc1,0,1,12,22,69
1.0.0-rc1,0,1,12,22,73
1.0.0-rc1,0,1,12,22,79
1.0.0-rc1,0,1,12,22,82
1.0.0-rc1,1,1,12,22,82
1.0.0-rc1,1,1,12,22,110
1.0.0-rc1,1,1,12,22,134
1.0.0-rc1,0,1,12,22,136
1.0.0-rc1,0,1,12,22,168
1.0.0-rc1,0,1,12,22,214
